Order,Order Quantity,Sales,Ship Mode,Profit,Shipping Cost,Province
61,26,994.27,Express Air,127.11,78.04,Connacht
62,22,245.96,Regular Air,33.82,46.0,Ulster
63,10,42.67,Regular Air,12.72,6.79,Munster
64,43,270.56,Regular Air,140.48,24.39,Munster
65,12,173.97,Regular Air,2.55,15.2,Connacht
66,43,866.73,Regular Air,199.98,65.99,Leinster
67,27,112.57,Regular Air,13.92,6.98,Connacht
68,7,86.29,Regular Air,14.03,4.88,Leinster
69,35,179.45,Regular Air,116.35,8.35,Ulster
70,37,2911.64,Regular Air,225.28,341.16,Ulster
71,39,1343.6,Regular Air,137.86,141.47,Ulster
72,22,447.23,Regular Air,122.78,7.87,Ulster
73,38,592.54,Regular Air,282.11,23.11,Connacht
74,30,12600.99,Delivery Truck,2963.48,-1026.36,Munster
75,6,92.02,Regular Air,47.36,8.15,Munster
76,1,29.65,Express Air,16.54,2.99,Connacht
77,7,138.91,Regular Air,64.11,2.77,Leinster
78,39,272.07,Regular Air,206.46,18.27,Connacht
79,34,5488.5265,Regular Air,1382.45,712.26,Connacht
80,13,409.97,Regular Air,39.36,22.32,Connacht
81,27,2675.08,Express Air,489.58,435.72,Munster
82,23,1914.16,Delivery Truck,128.43,265.96,Munster
83,46,6730.07,Delivery Truck,1134.61,230.03,Connacht
84,11,74.02,Regular Air,28.45,14.61,Munster
85,16,2826.9,Delivery Truck,337.29,89.77,Ulster
86,17,120.751,Regular Air,71.39,14.18,Connacht
87,48,90.96,Regular Air,30.11,7.85,Munster
88,15,2690.7515,Regular Air,234.61,110.02,Connacht
89,45,2752.68,Regular Air,430.32,335.46,Ulster
90,31,74.75,Express Air,115.43,9.35,Munster
91,48,25312.0,Delivery Truck,8788.81,2430.75,Munster
92,8,1217.62,Delivery Truck,221.5,101.32,Leinster
93,31,507.58,Regular Air,131.59,23.94,Leinster
94,12,2218.891,Express Air,79.54,242.44,Connacht
95,35,181.15,Regular Air,46.68,17.22,Ulster
96,33,584.511,Regular Air,95.98,26.37,Leinster
97,40,430.88,Regular Air,39.0,7.26,Munster
98,50,527.6,Regular Air,221.59,11.54,Leinster
99,3,224.74400000000003,Regular Air,54.6,39.25,Munster
100,42,206.2,Regular Air,101.14,12.74,Munster
101,6,20.19,Regular Air,13.44,3.32,Ulster
102,36,508.73,Regular Air,229.67,24.87,Leinster
103,7,384.2,Regular Air,164.46,18.06,Leinster
104,23,631.99,Regular Air,43.96,63.47,Leinster
105,3,469.43800000000005,Regular Air,888.16,46.92,Leinster
106,12,94.39,Regular Air,29.49,3.04,Ulster
107,43,1751.68,Express Air,771.83,324.13,Ulster
108,25,322.73,Regular Air,101.83,39.49,Munster
109,33,4416.651,Regular Air,1020.41,671.47,Connacht
110,41,377.83,Regular Air,122.06,39.61,Connacht
111,23,1003.31,Regular Air,51.9,27.88,Connacht
112,44,185.82,Express Air,11.45,0.4,Ulster
113,46,320.93,Regular Air,66.48,32.5,Leinster
114,1,10.62,Regular Air,31.2,0.51,Connacht
115,9,49.89,Regular Air,30.84,2.57,Connacht
116,37,316.35,Express Air,52.18,30.3,Ulster
117,14,1885.41,Regular Air,524.74,96.62,Ulster
118,12,93.54,Regular Air,54.04,15.59,Munster
119,39,475.52,Regular Air,70.43,36.39,Connacht
120,16,34.93,Regular Air,0.05,3.19,Munster
121,4,1660.86,Regular Air,164.59,132.67,Munster
122,46,7807.45,Express Air,1660.15,647.52,Connacht
123,50,512.33,Regular Air,250.66,57.18,Connacht
124,6,141.27,Express Air,28.14,8.63,Ulster
125,32,155.27,Regular Air,151.55,4.34,Munster
126,32,381.24,Regular Air,67.6,40.31,Leinster
127,31,196.74,Regular Air,61.59,8.28,Connacht
128,11,37.64,Express Air,7.52,0.56,Munster
129,1,534.3,Delivery Truck,1220.91,13.35,Connacht
130,6,627.453,Regular Air,408.25,61.66,Munster
131,47,945.03,Regular Air,267.64,123.24,Connacht
132,4,256.77,Regular Air,173.89,48.27,Ulster
133,25,67.45,Regular Air,24.28,3.28,Ulster
134,11,466.35,Regular Air,159.25,41.22,Munster
135,41,230.29,Regular Air,14.48,36.37,Leinster
136,41,755.19,Regular Air,81.44,41.12,Ulster
137,2,383.45,Delivery Truck,244.47,15.1,Leinster
138,16,772.4119999999999,Regular Air,184.69,42.55,Leinster
139,24,2014.13,Regular Air,794.94,34.14,Connacht
140,2,40.8255,Regular Air,99.98,6.49,Connacht
141,3,329.63,Regular Air,541.33,10.51,Connacht
142,17,441.53,Delivery Truck,119.55,10.63,Connacht
143,12,76.61,Regular Air,31.83,7.07,Leinster
144,2,250.7,Delivery Truck,180.61,34.66,Munster
145,15,1390.49,Regular Air,366.8,117.89,Munster
146,19,796.14,Regular Air,320.07,51.62,Leinster
147,1,68.45,Express Air,25.76,4.4,Connacht
148,30,221.05,Regular Air,66.38,12.83,Connacht
149,28,588.54,Regular Air,30.72,21.59,Leinster
150,12,351.12,Express Air,202.63,32.79,Connacht
151,10,71.86,Regular Air,35.52,6.63,Ulster
152,20,2039.39,Regular Air,199.73,102.0,Connacht
153,32,14861.07,Delivery Truck,3408.29,957.9,Ulster
154,3,5972.59,Delivery Truck,4852.53,1061.01,Munster
155,31,906.015,Regular Air,248.67,114.4,Ulster
156,20,515.37,Regular Air,9.82,99.3,Munster
157,45,2404.599,Express Air,496.89,39.3,Connacht
158,15,1187.1525,Regular Air,33.19,39.25,Munster
159,35,253.15,Regular Air,72.43,12.35,Connacht
160,28,669.02,Delivery Truck,1274.02,2.83,Connacht
161,14,195.12,Regular Air,6.32,2.8,Ulster
162,3,36.06,Regular Air,18.5,2.99,Ulster
163,35,3310.9455,Regular Air,822.4,134.94,Leinster
164,10,408.23,Regular Air,52.38,55.28,Connacht
165,25,78.26,Express Air,35.09,0.91,Connacht
166,49,7413.29,Delivery Truck,1148.23,465.1,Ulster
167,20,2022.18,Express Air,594.44,6.19,Munster
168,22,1651.09,Regular Air,2.38,2.22,Ulster
169,27,6152.8,Delivery Truck,554.55,832.38,Connacht
170,5,2543.95,Regular Air,1011.32,121.78,Munster
171,33,9758.7,Regular Air,3793.7,1326.24,Connacht
172,14,3236.8,Delivery Truck,501.69,207.83,Leinster
173,15,1917.61,Delivery Truck,286.9,35.79,Connacht
174,12,61.09,Regular Air,24.06,10.04,Ulster
175,21,4242.76,Regular Air,340.88,370.9,Leinster
176,24,2750.107,Regular Air,600.42,187.29,Leinster
177,37,111.39,Regular Air,20.06,1.03,Munster
178,33,1683.69,Regular Air,809.97,53.74,Ulster
179,25,827.47,Regular Air,45.37,124.05,Ulster
180,21,664.9889999999999,Regular Air,170.46,108.17,Leinster
181,30,1150.88,Express Air,911.56,104.49,Ulster
182,26,3617.64,Delivery Truck,354.13,348.84,Munster
183,13,210.22,Regular Air,30.71,15.96,Leinster
184,50,387.79,Regular Air,56.51,35.4,Ulster
185,22,2684.98,Regular Air,1115.14,71.65,Ulster
186,47,314.0,Regular Air,66.04,15.72,Ulster
187,20,71.07,Regular Air,15.09,4.79,Connacht
188,36,173.08,Regular Air,81.63,16.78,Leinster
189,27,2854.76,Regular Air,61.13,373.83,Leinster
190,8,16.47,Regular Air,6.82,0.13,Connacht
191,12,214.94,Regular Air,26.75,41.72,Munster
192,43,170.88,Regular Air,149.09,2.53,Connacht
193,30,550.29,Regular Air,82.5,0.89,Connacht
194,42,14729.36,Delivery Truck,3277.57,448.12,Ulster
195,1,1500.82,Delivery Truck,3381.99,0.35,Munster
196,1,62.26,Regular Air,23.24,10.96,Leinster
197,46,3197.45,Regular Air,97.16,291.86,Leinster
198,42,278.01,Regular Air,202.31,52.53,Munster
199,29,10338.93,Delivery Truck,871.52,317.73,Ulster
200,23,1642.47,Delivery Truck,524.03,296.23,Munster
201,7,355.97,Regular Air,4.46,1.6,Munster
202,8,468.49,Regular Air,6.37,84.77,Connacht
203,3,279.33,Regular Air,44.18,29.16,Connacht
204,9,356.72,Regular Air,12.61,23.47,Ulster
205,12,174.11,Regular Air,24.52,11.1,Munster
206,26,2703.45,Regular Air,445.04,262.07,Munster
207,8,44.99,Regular Air,40.43,2.42,Connacht
208,50,169.13,Regular Air,43.05,0.87,Leinster
209,27,1991.26,Delivery Truck,528.09,223.22,Munster
210,34,241.04,Express Air,28.2,29.87,Munster
211,43,532.89,Regular Air,210.53,7.75,Ulster
212,46,27875.54,Regular Air,635.69,725.06,Connacht
213,10,994.04,Regular Air,335.06,14.91,Ulster
214,37,107.73,Regular Air,39.81,6.63,Leinster
215,38,1279.25,Regular Air,569.3,29.45,Connacht
216,22,482.37,Regular Air,34.03,70.33,Leinster
217,29,1104.28,Regular Air,359.75,6.55,Munster
218,42,642.1,Regular Air,41.56,45.45,Munster
219,35,1264.13,Regular Air,1087.36,57.5,Ulster
220,9,107.92,Regular Air,57.65,18.1,Connacht
221,9,742.84,Delivery Truck,320.7,129.96,Leinster
222,2,19.9,Regular Air,15.97,1.84,Ulster
223,31,1637.457,Regular Air,118.15,155.13,Ulster
224,40,192.54,Regular Air,186.73,7.02,Leinster
225,36,572.4,Regular Air,39.5,47.74,Leinster
226,35,677.43,Regular Air,37.99,15.28,Leinster
227,29,482.91,Regular Air,16.59,45.96,Connacht
228,31,107.97,Regular Air,2.36,3.53,Connacht
229,31,295.97,Regular Air,5.02,5.86,Leinster
230,30,215.85,Regular Air,60.95,5.37,Connacht
231,29,221.33,Regular Air,77.33,15.92,Ulster
232,48,2784.8295,Express Air,788.29,171.18,Connacht
233,19,305.68,Express Air,128.17,10.23,Ulster
234,40,104.39,Regular Air,38.45,6.79,Connacht
235,6,36.65,Regular Air,0.43,2.42,Connacht
236,33,332.95,Regular Air,28.16,18.71,Leinster
237,34,800.39,Regular Air,270.29,9.98,Ulster
238,20,154.13,Regular Air,57.31,10.63,Ulster
239,48,724.13,Regular Air,250.53,40.21,Connacht
240,44,1001.99,Regular Air,333.53,122.58,Ulster
241,21,78.57,Regular Air,20.65,5.26,Munster
242,41,17448.75,Delivery Truck,9.93,1360.99,Connacht
243,34,1234.85,Regular Air,212.2,7.71,Munster
244,4,431.11,Regular Air,244.33,69.9,Ulster
245,21,238.06,Regular Air,56.43,10.87,Munster
246,36,7223.59,Delivery Truck,1769.81,685.88,Connacht
247,9,222.2,Regular Air,40.25,14.42,Munster
248,27,58.64,Regular Air,4.55,5.35,Leinster
249,19,6070.96,Delivery Truck,173.48,353.99,Ulster
250,4,29.42,Express Air,14.43,2.34,Connacht
251,35,182.86,Regular Air,106.27,33.23,Munster
252,23,21062.91,Delivery Truck,5713.53,1614.26,Connacht
253,4,38.58,Regular Air,2.82,5.91,Munster
254,38,5601.1,Express Air,1515.7,387.47,Leinster
255,18,126.62,Express Air,60.79,12.2,Leinster
256,35,26095.13,Delivery Truck,12606.81,1911.65,Connacht
257,20,238.77,Regular Air,78.81,25.38,Ulster
258,45,377.31,Regular Air,87.96,15.51,Leinster
259,25,901.32,Express Air,338.01,62.65,Munster
260,46,745.99,Regular Air,226.09,39.48,Munster
261,39,315.88,Regular Air,60.4,20.39,Munster
262,41,316.61,Regular Air,110.34,5.76,Ulster
263,26,2753.1925,Regular Air,510.49,188.18,Ulster
264,48,5138.335,Regular Air,1422.2,874.46,Connacht
265,42,1146.11,Regular Air,330.63,224.57,Connacht
266,20,40.05,Regular Air,10.22,2.65,Leinster
267,1,28.75,Express Air,14.35,1.5,Ulster
268,32,157.85,Regular Air,22.54,20.93,Ulster
269,30,991.01,Regular Air,46.29,62.21,Munster
270,32,209.42,Regular Air,65.41,1.48,Ulster
271,28,175.76,Regular Air,80.36,8.77,Ulster
272,7,251.59,Regular Air,39.23,20.25,Leinster
273,41,4359.0,Regular Air,907.67,414.61,Ulster
274,24,6408.3,Delivery Truck,539.54,687.7,Munster
275,27,1403.027,Express Air,153.8,125.35,Leinster
276,12,557.03,Regular Air,8.95,4.28,Munster
277,48,2832.88,Regular Air,668.96,38.29,Ulster
278,38,212.57,Express Air,9.49,6.44,Munster
279,16,131.72,Regular Air,42.61,3.83,Leinster
280,39,593.21,Regular Air,44.71,66.91,Munster
281,49,100.08,Regular Air,85.58,17.8,Ulster
282,24,875.52,Regular Air,5.71,80.84,Ulster
283,48,1585.6,Regular Air,632.13,142.26,Leinster
284,12,2409.424,Delivery Truck,50.95,81.23,Connacht
285,39,279.29,Regular Air,14.15,36.44,Leinster
286,13,3939.89,Delivery Truck,598.24,223.23,Leinster
287,12,66.83,Express Air,24.31,4.57,Connacht
288,41,152.59,Regular Air,55.48,19.29,Leinster
289,41,286.75,Regular Air,98.44,26.13,Munster
290,50,1441.57,Express Air,475.26,182.31,Munster
291,1,379.8,Delivery Truck,183.09,27.3,Munster
292,40,312.63,Regular Air,167.3,11.61,Ulster
293,11,985.01,Regular Air,186.05,43.04,Connacht
294,21,1217.5,Delivery Truck,412.36,239.0,Ulster
295,32,54.78,Regular Air,30.54,4.15,Munster
296,15,68.03,Regular Air,8.87,5.06,Munster
297,5,17.06,Regular Air,7.54,0.78,Munster
298,25,1412.98,Regular Air,324.96,8.14,Ulster
299,46,11036.16,Delivery Truck,1187.8,12.24,Munster
300,50,343.0,Regular Air,76.94,64.72,Connacht
301,38,331.53,Regular Air,35.97,15.73,Ulster
302,24,1304.0275,Regular Air,34.36,115.26,Ulster
303,39,14591.44,Delivery Truck,5475.8,1401.19,Munster
304,37,4657.6515,Regular Air,1242.85,153.56,Ulster
305,16,1702.499,Regular Air,133.45,155.71,Leinster
306,13,94.99,Regular Air,106.29,2.65,Connacht
307,30,4506.85,Delivery Truck,290.66,163.28,Munster
308,50,241.01,Regular Air,4.69,5.78,Leinster
309,4,207.55,Regular Air,16.23,19.17,Connacht
310,37,61.77,Express Air,12.65,1.3,Ulster
311,37,1251.18,Delivery Truck,1756.44,12.11,Ulster
312,16,41.52,Regular Air,85.17,0.69,Munster
313,11,123.34,Regular Air,0.64,7.9,Connacht
314,50,5067.5725,Regular Air,1275.91,291.96,Leinster
315,10,1077.28,Delivery Truck,486.12,18.38,Ulster
316,21,109.29,Regular Air,77.08,5.71,Leinster
317,46,3412.08,Delivery Truck,239.23,448.9,Munster
318,34,1211.18,Regular Air,208.4,90.71,Connacht
319,11,2020.58,Delivery Truck,45.02,91.46,Munster
320,39,485.97,Regular Air,48.6,25.06,Ulster
321,25,726.82,Express Air,173.88,49.63,Leinster
322,49,240.3,Regular Air,139.16,22.67,Munster
323,26,3227.38,Delivery Truck,192.31,639.91,Munster
324,23,218.29,Regular Air,32.43,10.67,Ulster
325,15,40.34,Regular Air,10.59,2.55,Ulster
326,33,12586.19,Delivery Truck,619.71,2280.53,Leinster
327,30,80.9,Regular Air,5.76,2.2,Connacht
328,45,13104.992,Delivery Truck,5626.42,50.08,Leinster
329,5,51.3,Express Air,32.48,1.2,Munster
330,15,834.904,Regular Air,11.68,23.98,Connacht
331,32,2421.44,Regular Air,949.09,203.35,Connacht
332,1,200.38,Delivery Truck,90.41,6.02,Ulster
333,36,1837.44,Delivery Truck,1414.41,271.15,Munster
334,42,451.32,Regular Air,1.16,9.9,Ulster
335,22,106.69,Regular Air,76.6,21.26,Leinster
336,41,782.05,Regular Air,253.74,110.26,Leinster
337,21,46.94,Regular Air,3.88,2.09,Leinster
338,30,200.24,Regular Air,59.85,10.35,Munster
339,18,168.95,Regular Air,15.9,5.26,Munster
340,26,1090.4,Regular Air,146.24,46.82,Leinster
341,21,1745.118,Regular Air,307.25,340.36,Munster
342,43,154.18,Regular Air,166.92,3.11,Connacht
343,30,243.49,Regular Air,45.89,0.87,Ulster
344,34,840.07,Regular Air,83.75,81.53,Munster
345,46,1048.39,Express Air,206.56,96.28,Leinster
346,6,54.28,Express Air,11.98,2.24,Connacht
347,21,7922.69,Regular Air,1558.79,268.92,Munster
348,1,22.61,Regular Air,8.4,0.94,Ulster
349,35,158.25,Regular Air,114.74,7.33,Connacht
350,21,756.6,Regular Air,299.59,115.75,Connacht
351,22,11022.53,Delivery Truck,1869.86,90.08,Ulster
352,3,12.01,Regular Air,1.08,0.61,Munster
353,46,249.02,Regular Air,282.61,21.07,Leinster
354,34,937.04,Regular Air,391.6,78.95,Munster
355,45,882.96,Regular Air,11.65,74.1,Ulster
356,50,853.1619999999999,Regular Air,83.95,19.69,Munster
357,7,33.99,Regular Air,25.86,3.28,Munster
358,15,110.15,Regular Air,13.91,17.0,Ulster
359,7,373.2775,Regular Air,204.93,30.37,Connacht
360,38,5793.46,Regular Air,2477.77,279.28,Leinster
361,45,322.8,Regular Air,53.15,53.64,Connacht
362,6,168.25,Express Air,101.78,9.53,Leinster
363,46,5074.07,Delivery Truck,1390.53,765.29,Leinster
364,16,6813.93,Delivery Truck,358.19,672.67,Ulster
365,29,475.58,Regular Air,108.21,40.72,Connacht
366,42,236.89,Regular Air,125.29,10.24,Munster
367,15,417.88,Express Air,13.95,33.84,Munster
368,31,16066.85,Regular Air,7416.43,2812.42,Ulster
369,16,1239.6315,Regular Air,172.55,66.93,Munster
370,50,387.03,Regular Air,7.73,46.12,Leinster
371,9,1010.26,Regular Air,271.5,67.61,Leinster
372,11,694.17,Regular Air,174.22,91.98,Munster
373,38,6216.6,Regular Air,1082.21,391.45,Leinster
374,4,13.42,Regular Air,1.26,0.18,Leinster
375,9,691.09,Regular Air,364.03,60.63,Ulster
376,5,220.7875,Regular Air,305.32,26.37,Munster
377,28,49.49,Regular Air,1.23,1.6,Leinster
378,6,323.53,Regular Air,136.32,12.35,Connacht
379,11,3571.84,Delivery Truck,403.81,87.54,Ulster
380,22,41.65,Regular Air,13.86,6.15,Munster
381,42,1753.51,Regular Air,155.72,108.48,Ulster
382,15,1143.88,Regular Air,88.7,51.08,Connacht
383,39,7725.66,Delivery Truck,737.41,465.17,Connacht
384,41,277.0745,Regular Air,128.44,12.46,Connacht
385,30,17034.92,Regular Air,5916.34,1910.45,Connacht
386,29,575.89,Regular Air,14.04,1.66,Leinster
387,29,2046.81,Regular Air,469.28,43.63,Ulster
388,10,74.04,Regular Air,37.04,0.96,Munster
389,47,1001.17,Regular Air,333.18,98.18,Connacht
390,39,19342.84,Delivery Truck,5603.95,250.67,Leinster
391,43,541.45,Express Air,164.25,50.18,Munster
392,44,226.18,Regular Air,115.54,6.64,Connacht
393,25,13255.93,Delivery Truck,4089.27,434.54,Leinster
394,10,197.21,Regular Air,56.88,4.97,Leinster
395,47,557.52,Express Air,157.3,54.82,Leinster
396,9,174.72,Regular Air,63.48,13.67,Munster
397,31,4483.92,Regular Air,174.61,396.91,Leinster
398,41,2251.9135,Regular Air,655.91,86.39,Leinster
399,31,1750.0,Express Air,559.38,207.1,Connacht
400,39,158.97,Regular Air,30.27,6.71,Connacht
401,26,981.9,Regular Air,11.38,124.88,Ulster
402,46,9304.2,Delivery Truck,1981.17,147.24,Ulster
403,24,2429.09,Express Air,20.67,20.13,Ulster
404,11,1884.2079999999999,Delivery Truck,776.72,150.67,Leinster
405,40,7789.63,Delivery Truck,1774.53,10.02,Connacht
406,18,93.26,Regular Air,35.36,7.45,Ulster
407,11,59.03,Regular Air,25.21,2.5,Munster
408,12,116.38,Regular Air,29.68,10.56,Munster
409,44,115.24,Regular Air,43.23,8.16,Munster
410,18,47.4,Regular Air,63.03,7.85,Ulster
411,42,906.07,Regular Air,2.66,178.62,Connacht
412,25,10330.94,Regular Air,2914.56,1381.16,Connacht
413,19,75.19,Regular Air,93.67,2.09,Leinster
414,22,168.31,Regular Air,46.49,5.88,Connacht
415,29,200.7,Regular Air,147.72,3.54,Ulster
416,49,188.7,Regular Air,77.02,18.51,Ulster
417,41,5572.92,Delivery Truck,639.47,563.9,Leinster
418,22,3220.58,Regular Air,1046.69,93.51,Leinster
419,23,109.43,Regular Air,21.77,1.58,Ulster
420,5,85.89,Regular Air,48.88,0.38,Munster
421,12,69.97,Regular Air,24.25,4.59,Ulster
422,50,8289.51,Regular Air,3051.62,363.66,Connacht
423,37,3512.9,Regular Air,2093.7,255.65,Munster
424,27,156.82,Regular Air,37.62,25.51,Munster
425,14,700.95,Regular Air,233.8,82.38,Munster
426,10,55.33,Express Air,13.38,0.34,Munster
427,8,179.66,Regular Air,1.73,17.97,Connacht
428,43,21921.28,Delivery Truck,10521.33,1661.19,Ulster
429,33,440.23,Regular Air,37.94,81.72,Ulster
430,8,387.17,Regular Air,190.6,77.1,Connacht
431,10,842.19,Regular Air,157.45,25.84,Leinster
432,30,569.61,Regular Air,48.44,7.13,Leinster
433,4,198.72,Express Air,34.43,9.74,Leinster
434,19,4201.47,Delivery Truck,199.25,835.98,Ulster
435,37,1302.99,Regular Air,545.49,53.61,Ulster
436,29,573.97,Regular Air,55.82,4.58,Leinster
437,40,2376.7105,Regular Air,721.81,409.48,Ulster
438,33,126.88,Regular Air,12.63,1.69,Leinster
439,1,18.73,Regular Air,6.68,1.86,Connacht
440,6,54.3,Regular Air,1.27,0.85,Leinster
441,46,1397.3829999999998,Regular Air,135.86,92.78,Connacht
442,10,351.3,Regular Air,1.45,6.47,Munster
443,36,2160.83,Regular Air,485.02,115.91,Ulster
444,9,190.1,Regular Air,63.78,37.98,Munster
445,7,2205.84,Delivery Truck,313.13,66.26,Ulster
446,20,310.31,Regular Air,51.5,42.85,Ulster
447,17,979.52,Delivery Truck,362.04,0.33,Ulster
448,22,152.52,Regular Air,43.87,16.52,Munster
449,48,2052.83,Regular Air,395.85,104.72,Connacht
450,1,102.9,Delivery Truck,81.89,4.75,Connacht
451,23,16743.76,Regular Air,6079.63,305.02,Munster
452,11,391.9,Regular Air,47.01,18.4,Munster
453,27,302.2,Regular Air,20.27,26.95,Connacht
454,21,1839.4479999999999,Regular Air,742.88,318.69,Leinster
455,8,2651.21,Delivery Truck,93.85,231.36,Munster
456,11,1118.396,Regular Air,212.33,194.71,Leinster
457,47,191.13,Regular Air,38.11,4.6,Leinster
458,50,236.28,Regular Air,34.06,12.87,Connacht
459,49,10261.25,Delivery Truck,611.11,1412.19,Connacht
460,20,303.69,Regular Air,50.84,22.32,Leinster
461,10,29.23,Regular Air,8.1,4.91,Leinster
462,12,123.76,Regular Air,32.44,22.5,Connacht
463,21,917.39,Express Air,393.41,106.57,Munster
464,26,1443.266,Regular Air,156.11,135.92,Munster
465,14,74.02,Regular Air,2.91,1.39,Ulster
466,3,28.11,Regular Air,31.62,1.58,Connacht
467,28,925.43,Regular Air,368.86,62.49,Leinster
468,45,405.6,Regular Air,8.59,65.32,Connacht
469,6,428.723,Regular Air,147.72,24.06,Ulster
470,10,192.58,Regular Air,24.6,10.18,Connacht
471,14,2045.066,Regular Air,4.68,150.38,Connacht
472,20,4520.6,Regular Air,1944.38,345.22,Connacht
473,36,233.38,Regular Air,180.17,31.01,Ulster
474,7,560.51,Regular Air,32.6,47.71,Connacht
475,21,524.2,Regular Air,158.98,3.98,Munster
476,20,1361.91,Regular Air,312.52,25.71,Munster
477,13,438.93,Express Air,119.02,1.39,Ulster
478,8,118.98,Regular Air,12.77,20.3,Ulster
479,27,834.0625,Regular Air,192.29,96.49,Munster
480,23,1028.16,Regular Air,405.16,128.61,Connacht
481,25,802.19,Regular Air,56.26,116.88,Munster
482,25,286.07,Regular Air,35.94,20.76,Connacht
483,12,480.73,Regular Air,148.2,2.82,Ulster
484,29,203.4,Regular Air,24.59,6.34,Connacht
485,16,2101.59,Express Air,554.91,53.03,Ulster
486,39,335.35,Regular Air,134.97,3.19,Connacht
487,43,294.13,Regular Air,123.07,58.21,Munster
488,36,10122.72,Delivery Truck,381.16,223.15,Ulster
489,13,1735.94,Delivery Truck,432.54,83.66,Ulster
490,9,884.1275,Regular Air,178.71,82.73,Connacht
491,20,759.84,Regular Air,162.83,75.26,Ulster
492,36,12690.33,Express Air,5045.3,261.01,Munster
493,41,22319.58,Delivery Truck,734.31,880.36,Leinster
494,19,2033.9225,Regular Air,251.2,21.86,Connacht
495,9,70.88,Regular Air,50.2,5.6,Munster
496,17,351.25,Express Air,80.73,56.29,Leinster
497,38,212.12,Regular Air,93.78,13.7,Munster
498,44,3021.64,Delivery Truck,720.2,50.21,Munster
499,27,898.9,Regular Air,325.88,58.26,Ulster
500,36,4169.93,Express Air,1765.54,116.31,Leinster
501,30,1187.55,Regular Air,532.61,225.47,Ulster
502,41,823.13,Regular Air,384.51,8.25,Connacht
503,6,82.72,Regular Air,29.71,13.38,Connacht
504,5,16.24,Regular Air,0.35,3.25,Ulster
505,20,92.15,Regular Air,36.98,11.94,Connacht
